"","X","Gene","variable","value"
"1",1,"RPN1","DEG",30
"2",2,"NHP2","DEG",30
"3",3,"DHX9","DEG",30
"4",4,"SNRPA1","DEG",30
"5",5,"CCT7","DEG",30
"6",6,"RAN","DEG",30
"7",7,"EIF4A3","DEG",0
"8",8,"HSPA4","DEG",0
"9",9,"RBM5","DEG",30
"10",10,"RPN1","Hub",40
"11",11,"NHP2","Hub",50
"12",12,"DHX9","Hub",57
"13",13,"SNRPA1","Hub",43
"14",14,"CCT7","Hub",49
"15",15,"RAN","Hub",48
"16",16,"EIF4A3","Hub",73
"17",17,"HSPA4","Hub",67
"18",18,"RBM5","Hub",28
"19",19,"RPN1","Cluster",30
"20",20,"NHP2","Cluster",30
"21",21,"DHX9","Cluster",30
"22",22,"SNRPA1","Cluster",30
"23",23,"CCT7","Cluster",30
"24",24,"RAN","Cluster",30
"25",25,"EIF4A3","Cluster",30
"26",26,"HSPA4","Cluster",30
"27",27,"RBM5","Cluster",0
"28",28,"RPN1","Pathway",9
"29",29,"NHP2","Pathway",6
"30",30,"DHX9","Pathway",7
"31",31,"SNRPA1","Pathway",2
"32",32,"CCT7","Pathway",5
"33",33,"RAN","Pathway",26
"34",34,"EIF4A3","Pathway",14
"35",35,"HSPA4","Pathway",15
"36",36,"RBM5","Pathway",2
"37",37,"RPN1","Immune",0
"38",38,"NHP2","Immune",0
"39",39,"DHX9","Immune",30
"40",40,"SNRPA1","Immune",0
"41",41,"CCT7","Immune",0
"42",42,"RAN","Immune",30
"43",43,"EIF4A3","Immune",30
"44",44,"HSPA4","Immune",30
"45",45,"RBM5","Immune",0
