"","stage1","stage2","stage3","stage4"
"WDR43",-0.212348637090593,-0.461944671818545,0.120042172840229,0.14172505555994
"UBE2I",-0.137309087934389,-0.0116050034932559,0.575906767971442,-0.850472545320783
"U2AF1L4",-0.472735698452932,-0.633357291616685,-0.661049832120595,-0.473014180926523
"TRMT10C",-0.691292461086826,-0.669485471265753,-0.820548902266448,-0.606102765311962
"TRA2B",-0.0649178372799475,-0.225234027051411,-0.40817409510571,-0.385599714121186
"TPR",-0.39894563175769,-0.550054470912926,1.66028684176622,0.128693653539884
"THOC2",-0.750277375744044,-0.453564970769126,-0.657114252897189,-0.16531364910412
"SYNCRIP",-0.718511311612901,0.731450246743705,1.05846733312114,-0.023572291205349
"STRAP",0.699984675617608,-0.539865284773876,-0.42355948176288,-0.172024073907453
"SRSF6",4.20198999652548,1.47794552368368,1.38637124818654,5.28954315077103
"SRSF10",1.15463161319651,0.0782702609382221,0.644380223543086,0.399020812427754
"SNW1",-0.359236262217043,-0.216780074988519,0.466541436010311,-0.403559383589024
"SNRPN",-0.291667145770052,-0.28471155398251,-1.03064116891955,-0.352544669866078
"SNRPC",-0.882763126323992,-0.885575687236738,0.0626956979784793,-0.601936947307915
"SNRPB2",-0.756133455353718,-0.442947146944814,-0.303219225589491,-0.671565889927232
"SNRPB",-0.429623264153299,-0.264492077660135,-0.441461046663874,-0.265131088927991
"SNRPA1",-0.70561260336557,-0.858368176735969,-0.962759801349159,-0.488959807544551
"SMN1",-0.953583044243622,-0.904505856289786,-1.09133791418067,-0.762531524057818
"SMC3",-0.758642863051296,-0.573468946856861,-0.500227879571543,-0.564095637392334
"SMARCA5",-0.519117165662876,-0.40456153946837,-0.67774988409068,-0.402579382823193
"SFPQ",0.0321895594956391,0.59360066363093,1.17085390751475,0.0497947434974407
"SF3B1",0.391411500917981,0.903840533792867,0.259611817929486,1.67828933889059
"SETX",0.0302330803745613,0.292472392375866,-0.848768239419122,-0.754193363793049
"SAFB",-0.803931697908994,-0.449889145937684,-0.838171766633562,-0.625142356234788
"RPSA",1.34387423969783,2.52365531724984,3.58220948454292,0.857065747095573
"RPL8",2.36467799449858,2.36995940077603,1.75403756236682,1.88387041773536
"RPL10A",2.06831581438663,2.26886191365417,1.41923421039573,1.05993035868066
"RBM5",-0.634142228819873,-0.482507079391126,-1.04270032504504,-0.564036585079174
"RBM25",0.197115336295744,-0.177867713546617,1.21302635347742,0.335528820312945
"RBM22",-1.00078233263001,-0.737923232585737,-0.805584007633385,-0.28581866064302
"RBM17",-0.681851172758279,-0.638162360744389,-0.122955126613529,-0.224042383499514
"RANBP2",2.1096538447257,0.394740279912019,0.295567359951263,0.208744281465569
"PRPF40A",-0.0447218770894934,-0.179018384113803,1.31799918165853,0.219763667300692
"PRKDC",-0.25568672729425,0.344946292920423,-0.43311998638593,-0.160714882838979
"POLR2G",-0.848878489976577,0.0651915630657597,-0.103720353765149,-0.61801600726919
"PCF11",-0.665149705264414,-0.730123534103395,-0.0548313696938726,-0.389110611745648
"NOP56",-0.641915095157724,-0.449415851905664,-0.640215155727768,-0.300051805097928
"LSM7",0.548742772264415,-0.170034071826991,-0.086785347496022,-0.391298805443994
"LSM3",-0.515041529827428,-0.646815834056678,-0.979365960868513,-0.48211103113942
"LARP4B",-0.062409145352828,-0.0367437881884755,-0.849893893457878,-0.396678205343064
"ILF2",1.37738209214333,-0.100673482459583,0.475181959107972,-0.220436970848556
"HNRNPH3",-0.257557316530466,-0.649098507096618,-0.423195611195191,-0.507281422102535
"G3BP1",0.220094336774964,-0.481345270971815,-0.602113475477353,0.220383212010167
"EIF4E",0.267547888752873,0.26767134097893,-0.544627657938622,-0.430581398284941
"EIF4A3",-0.914065407970465,0.0851331302503411,-0.619533411146831,-0.149769596345363
"DHX9",-0.837962328200158,0.215273070302203,-0.662444262410948,-0.598115761521692
"DDX3X",0.622540711149648,4.78484266179563,0.997329664828906,2.81624248472996
"DDX24",1.16778978334178,0.0437013421770107,1.0949048219639,0.869145884317093
"DDX17",0.755523686737954,-0.444654908820108,0.74678000914528,0.697693791388711
"CWC15",-0.0398185133637064,0.135517408695591,-0.556142984912116,-0.705927086674587
"CPSF6",-0.614896503485447,-0.308808286220371,-0.881773299917466,-0.473325629242907
"CHD4",0.359534948754782,0.112849786831146,-0.573153054590875,-0.138797433358017
"CCAR1",-0.834521195642592,-0.539812248699508,-0.931021404796961,-0.384269743477389
"BCLAF1",0.37094946015225,-0.498521218532207,2.26233904848085,0.0838767051966702
"ALYREF",-0.829175584920015,-0.902982129629449,-1.06985549265727,-0.898838206522097
"ADAR",-0.698959512510754,-0.685003829078865,-0.915951430480075,-0.0517506270806891
